"統計名：","国民医療費"
"表番号：","17"
"表題：","国民医療費・人口一人当たり国民医療費，診療種類・都道府県別"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","統計項目のあり得ない場合"
"-","計数のない場合"
"-0.0"," "
"…","計数不明又は計数を表章することが不適当な場合"

"","","","","/国民医療費・人口一人当たり国民医療費、診療種類 補助コード","-","-","-","-","-","-","-","-","-","-","-"
"時間軸（年度次） 補助コード","時間軸（年度次）","都道府県 補助コード","都道府県","/国民医療費・人口一人当たり国民医療費、診療種類","国民医療費_総数【億円】","国民医療費_医科診療医療費【億円】","国民医療費_医科診療医療費_入院【億円】","国民医療費_医科診療医療費_入院外【億円】","国民医療費_歯科診療医療費【億円】","国民医療費_薬局調剤医療費【億円】","国民医療費_入院時食事・生活医療費【億円】","国民医療費_訪問看護医療費【億円】","国民医療費_療養費等【億円】","人口一人当たり国民医療費【千円】","総人口【千人】"
"","2022年度","","全国","","466,967","338,255","173,524","164,731","32,275","79,903","7,290","4,633","4,610","373.7","124,947"
"","2022年度","","北海道","","22,236","16,355","9,474","6,881","1,318","3,835","424","148","155","432.6","5,140"
"","2022年度","","青森県","","4,448","3,147","1,629","1,518","246","921","73","36","24","369.4","1,204"
"","2022年度","","岩手県","","4,268","3,000","1,571","1,429","268","865","76","33","25","361.4","1,181"
"","2022年度","","宮城県","","7,922","5,641","2,790","2,851","520","1,534","111","62","55","347.5","2,280"
"","2022年度","","秋田県","","3,730","2,618","1,460","1,158","228","777","66","16","24","401.0","930"
"","2022年度","","山形県","","3,968","2,876","1,513","1,362","251","724","68","27","22","381.2","1,041"
"","2022年度","","福島県","","6,389","4,613","2,340","2,273","401","1,192","101","32","50","356.9","1,790"
"","2022年度","","茨城県","","9,641","6,873","3,381","3,491","632","1,880","133","64","59","339.5","2,840"
"","2022年度","","栃木県","","6,616","4,867","2,334","2,533","430","1,123","96","43","58","346.6","1,909"
"","2022年度","","群馬県","","6,815","5,087","2,573","2,514","432","1,071","111","58","55","356.2","1,913"
"","2022年度","","埼玉県","","24,358","17,316","8,417","8,900","1,777","4,461","312","218","275","332.0","7,337"
"","2022年度","","千葉県","","20,936","14,922","7,404","7,518","1,603","3,773","276","166","196","334.1","6,266"
"","2022年度","","東京都","","48,224","34,148","15,956","18,192","3,647","8,720","572","521","618","343.5","14,038"
"","2022年度","","神奈川県","","31,244","21,659","10,372","11,287","2,494","6,061","361","315","353","338.4","9,232"
"","2022年度","","新潟県","","7,377","5,272","2,768","2,504","507","1,376","126","43","53","342.6","2,153"
"","2022年度","","富山県","","3,851","2,879","1,616","1,263","223","613","71","26","38","378.7","1,017"
"","2022年度","","石川県","","4,234","3,154","1,724","1,430","231","677","79","61","31","378.7","1,118"
"","2022年度","","福井県","","2,803","2,149","1,142","1,008","155","406","51","25","18","372.3","753"
"","2022年度","","山梨県","","2,973","2,156","1,119","1,037","189","530","50","19","29","370.7","802"
"","2022年度","","長野県","","7,315","5,291","2,783","2,508","463","1,335","112","47","67","362.1","2,020"
